발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2024-12-18 07:29,12,7,동해,영해,37 | 7 | 45,131 | 59 | 22,풍랑주의보,운항부주의,부유물감김,1,8,8,0,0,0,어선,87
2024-12-18 07:14,12,7,인천,항계 내,37 | 29 | 20,126 | 36 | 47,양호,정비불량,기관손상,1,3,3,0,0,0,관공선,18
2024-12-18 04:33,12,4,포항,영해,35 | 41 | 30,129 | 30 | 11,양호,정비불량,기관손상,1,2,2,0,0,0,어선,3
2024-12-18 03:33,12,3,제주,항계 내,33 | 28 | 14,126 | 19 | 56,양호,운항부주의,부유물감김,1,10,10,0,0,0,어선,29
2024-12-18 00:03,12,0,제주,영해,33 | 39 | 5,126 | 39 | 14,양호,정비불량,기관손상,1,6,6,0,0,0,어선,9.77
2024-12-17 22:42,12,22,포항,영해,36 | 3 | 29,129 | 35 | 21,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,7.93
2024-12-17 21:58,12,21,동해,영해-EEZ,37 | 57 | 0,132 | 39 | 0,풍랑주의보,정비불량,기관손상,1,7,7,0,0,0,어선,29
2024-12-17 17:11,12,17,보령,항계 내,36 | 19 | 49,126 | 30 | 19,양호,관리소홀,표류,1,0,0,0,0,0,기타,1
2024-12-17 16:00,12,16,서귀포,영해,33 | 9 | 0,126 | 45 | 0,양호,정비불량,기관손상,1,3,3,0,0,0,어선,4.96
2024-12-17 15:55,12,15,제주,항계 내,33 | 31 | 38,126 | 34 | 42,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,4.31
2024-12-17 15:31,12,15,목포,영해,34 | 46 | 24,126 | 20 | 27,양호,정비불량,기관손상,1,3,3,0,0,0,화물선,56
2024-12-17 15:16,12,15,포항,영해,35 | 58 | 60,129 | 33 | 16,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,9.77
2024-12-17 14:54,12,14,여수,영해,34 | 34 | 40,127 | 45 | 54,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,2.7
2024-12-17 14:49,12,14,울산,항계 내,35 | 29 | 52,129 | 23 | 57,양호,안전부주의,해양오염,1,0,0,0,0,0,유조선,262
2024-12-17 13:21,12,13,통영,영해,34 | 41 | 16,128 | 20 | 44,양호,정비불량,기관손상,1,2,2,0,0,0,어선,2.75
2024-12-17 13:14,12,13,제주,영해,33 | 31 | 36,126 | 34 | 41,양호,정비불량,추진기손상,1,1,1,0,0,0,어선,3.99
2024-12-17 10:58,12,10,부산,영해-EEZ,34 | 35 | 12,128 | 55 | 35,양호,정비불량,기관손상,1,11,11,0,0,0,화물선,1926
2024-12-17 10:05,12,10,제주,영해,33 | 58 | 22,126 | 18 | 24,양호,정비불량,기관손상,1,2,2,0,0,0,어선,7.31
2024-12-17 09:17,12,9,목포,항계 내,35 | 23 | 21,126 | 24 | 9,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,관공선,19
2024-12-17 08:55,12,8,서귀포,항계 내,33 | 28 | 20,126 | 55 | 44,양호,화기취급부주의,화재,1,0,0,0,0,0,어선,29
2024-12-17 05:17,12,5,울진,영해,36 | 42 | 38,129 | 52 | 32,양호,운항부주의,부유물감김,1,6,6,0,0,0,어선,9.77
2024-12-17 00:02,12,0,제주,영해,33 | 36 | 42,126 | 31 | 13,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,7.31
2024-12-16 23:51,12,23,여수,영해,34 | 30 | 51,127 | 54 | 20,양호,정비불량,침수,1,5,5,0,0,0,어선,9.77
2024-12-16 13:59,12,13,목포,영해,34 | 45 | 25,126 | 19 | 33,양호,운항부주의,좌초/좌주,1,12,12,0,0,0,어선,24
2024-12-16 13:41,12,13,서귀포,영해,33 | 10 | 0,126 | 13 | 0,양호,정비불량,기관손상,1,1,1,0,0,0,어선,5.91
2024-12-16 13:03,12,13,제주,항계 내,33 | 30 | 0,126 | 27 | 0,양호,정비불량,침수,1,0,0,0,0,0,모터보트,1.04
2024-12-16 10:54,12,10,통영,영해,34 | 39 | 30,128 | 37 | 8,양호,연료고갈,운항저해,1,2,2,0,0,0,어선,4.99
2024-12-16 09:59,12,9,목포,영해,34 | 44 | 27,126 | 20 | 21,양호,정비불량,기관손상,1,15,15,0,0,0,화물선,4388
2024-12-15 22:30,12,22,군산,영해-EEZ,35 | 47 | 7,124 | 58 | 33,양호,운항부주의,부유물감김,1,30,30,0,0,0,관공선,6862
2024-12-15 22:09,12,22,서귀포,영해,33 | 0 | 0,126 | 55 | 0,풍랑주의보,정비불량,침수,1,10,10,0,0,0,어선,67
2024-12-15 17:32,12,17,동해,영해-EEZ,37 | 53 | 27,131 | 32 | 39,풍랑주의보,운항부주의,키손상,1,7,7,0,0,0,어선,29
2024-12-15 17:18,12,17,보령,영해,36 | 7 | 46,126 | 30 | 31,양호,관리소홀,표류,1,0,0,0,0,0,기타,2.93
2024-12-15 13:01,12,13,부산,항계 내,35 | 7 | 54,129 | 8 | 26,양호,정비불량,기관손상,1,7,7,0,0,0,요트,2.5
2024-12-15 11:06,12,11,서귀포,영해,33 | 21 | 0,126 | 52 | 0,양호,정비불량,기관손상,1,2,2,0,0,0,어선,4.07
2024-12-15 09:45,12,9,포항,영해,36 | 15 | 45,129 | 22 | 36,양호,원인미상,실종(선박),1,1,0,0,1,0,어선,2.47
2024-12-14 16:15,12,16,창원,영해,34 | 59 | 34,128 | 42 | 11,양호,안전부주의,부유물감김,1,14,14,0,0,0,낚시어선,8.55
2024-12-14 13:13,12,13,인천,항계 내,37 | 19 | 35,126 | 39 | 15,양호,운항부주의,표류,1,1,1,0,0,0,어선,6.67
2024-12-14 10:12,12,10,완도,항계 내,34 | 18 | 14,126 | 48 | 44,양호,정비불량,기관손상,1,2,2,0,0,0,어선,2.2
2024-12-14 06:44,12,6,태안,항계 내,36 | 46 | 40,126 | 7 | 50,양호,화기취급부주의,화재,1,7,7,1,0,0,어선,19
2024-12-14 00:27,12,0,제주,항계 내,33 | 31 | 9,126 | 31 | 57,양호,화기취급부주의,화재,1,5,5,0,0,0,어선,20
2024-12-13 19:46,12,19,서귀포,영해,33 | 3 | 0,126 | 40 | 0,양호,정비불량,기관손상,1,10,10,0,0,0,어선,37
2024-12-13 17:27,12,17,부산,항계 내,35 | 3 | 24,129 | 0 | 29,양호,화기취급부주의,화재,1,14,14,0,0,0,어선,139
2024-12-13 17:16,12,17,평택,협수로,36 | 58 | 32,126 | 48 | 57,양호,정비불량,기관손상,1,15,15,0,0,0,화물선,8574
2024-12-13 16:43,12,16,울산,영해,35 | 22 | 45,129 | 36 | 10,황천6급,운항부주의,부유물감김,1,4,4,0,0,0,어선,9.77
2024-12-13 16:33,12,16,제주,항계 내,33 | 24 | 56,126 | 15 | 33,양호,화기취급부주의,화재,1,0,0,0,0,0,어선,44
2024-12-13 09:22,12,9,평택,영해,37 | 7 | 9,126 | 33 | 15,양호,정비불량,기관손상,1,11,11,0,0,0,화물선,2423
2024-12-13 09:12,12,9,부산,항계 내,35 | 6 | 6,129 | 3 | 23,양호,화기취급부주의,화재,1,2,2,0,0,0,화물선,6971
2024-12-13 07:00,12,7,제주,영해,33 | 35 | 17,126 | 44 | 12,양호,정비불량,기관손상,1,2,2,0,0,0,어선,4.02
2024-12-13 06:16,12,6,태안,영해,36 | 32 | 48,125 | 35 | 30,양호,운항부주의,부유물감김,1,6,6,0,0,0,어선,9.77
2024-12-13 02:52,12,2,완도,항계 내,34 | 25 | 54,126 | 42 | 55,양호,연료고갈,기관손상,1,1,1,0,0,0,어선,1.12
2024-12-13 00:15,12,0,여수,영해,34 | 25 | 42,127 | 42 | 41,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,9.77
2024-12-12 21:06,12,21,제주,영해-EEZ,32 | 43 | 60,126 | 0 | 0,풍랑주의보,정비불량,기관손상,1,8,8,0,0,0,어선,29
2024-12-12 21:03,12,21,서귀포,영해,32 | 43 | 60,126 | 0 | 0,양호,정비불량,기관손상,1,8,8,0,0,0,어선,29
2024-12-12 16:01,12,16,서귀포,영해,33 | 27 | 0,127 | 1 | 0,양호,운항부주의,기관손상,1,8,8,0,0,0,어선,89
